epic,story,status,percent,evidence files,remaining gap
"Epic P0.1 - Bible Study Core Must Be Trustworthy","P0.1.1 - Fix verse-level theme assignment","done",100,"src/lib/bibleThemes.ts; src/pages/Bible.tsx; tests/bible-modes.spec.js; tests/bible-settings.spec.js","Monitor remaining false positives in broader book coverage under later P1 interpretation work."
"Epic P0.1 - Bible Study Core Must Be Trustworthy","P0.1.2 - Stabilize Bible overlay modes","done",100,"src/pages/Bible.tsx; src/store/index.ts; tests/bible-modes.spec.js","Mode system is stable; future work belongs to UX polish rather than core stabilization."
"Epic P0.1 - Bible Study Core Must Be Trustworthy","P0.1.3 - Add chapter coverage safeguards","done",100,"src/pages/Bible.tsx; src/lib/bibleThemes.ts; tests/bible-settings.spec.js","Coverage guard is in place; remaining work is content quality, not save safety."
"Epic P0.1 - Bible Study Core Must Be Trustworthy","P0.1.4 - Persist approved Bible analyses","done",100,"src/lib/bibleThemes.ts; src/pages/Bible.tsx; src/pages/Settings.tsx","Persist and reuse flow is working; future work is cache versioning discipline under P0.4.4."
"Epic P0.1 - Bible Study Core Must Be Trustworthy","P0.1.5 - Improve evidence visibility","done",100,"src/lib/bibleThemes.ts; src/pages/Bible.tsx; tests/bible-settings.spec.js","Evidence trail is live; later refinement is presentation depth, not missing plumbing."
"Epic P0.1 - Bible Study Core Must Be Trustworthy","P0.1.6 - Add Meaning / Reflection scaffold","done",100,"src/pages/Bible.tsx; src/lib/bibleThemes.ts; tests/bible-modes.spec.js","Scaffold is complete; deeper theological maturity is tracked under P1.1."
"Epic P0.2 - Discipleship Import Pipeline Must Work End-to-End","P0.2.1 - Harden the import pipeline","done",100,"src/pages/Settings.tsx; vite.config.ts; src/types/index.ts; src/lib/chronicleVersioning.ts; tests/bible-settings.spec.js","Malformed OCR sources are now rejected with repair guidance; deeper source intelligence continues in P1.4, not P0.2."
"Epic P0.2 - Discipleship Import Pipeline Must Work End-to-End","P0.2.2 - Fix overlapping page/day mapping","done",100,"src/pages/Discipleship.tsx; vite.config.ts; scripts/sync-discipleship-workbook-overlays.mjs; data/library/catalog.json; tests/discipleship-progress.spec.js","Chronicle now derives source page slices automatically instead of depending only on tuned manual overrides."
"Epic P0.2 - Discipleship Import Pipeline Must Work End-to-End","P0.2.3 - Improve workbook overlays","done",100,"src/pages/Discipleship.tsx; scripts/sync-discipleship-workbook-overlays.mjs; data/library/qa/discipleship-workbook-audit.json; tests/bible-settings.spec.js","Overlay targeting and workbook QA are now slice-aware; future refinements are quality upgrades rather than missing workflow support."
"Epic P0.2 - Discipleship Import Pipeline Must Work End-to-End","P0.2.4 - Add import progress and recovery","done",100,"src/pages/Settings.tsx; vite.config.ts; tests/bible-settings.spec.js","Import progress, restore, repair, and snapshot-backed recovery are in place for the local-first import workflow."
